account_id,seats,is_trial,churn_flag,total_subscriptions,active_subscriptions,avg_subscription_duration_days,avg_sub_seats,max_sub_seats,avg_mrr_amount,max_mrr_amount,avg_arr_amount,total_arr_amount,trial_subscription_count,auto_renew_count,upgrade_count,downgrade_count,recent_upgrade_90d,recent_downgrade_90d,ended_subscriptions_count,max_subscription_duration_days,active_subscription_ratio,auto_renew_ratio,latest_auto_renew_flag,latest_is_trial,days_since_last_subscription_change,total_usage_count,total_usage_duration_secs,total_error_count,unique_feature_count,beta_feature_usage_count,days_since_last_usage,total_tickets,avg_resolution_time_hours,avg_first_response_time_minutes,avg_satisfaction_score,escalation_count,escalation_ratio,account_age_days,avg_resolution_time_hours_missing_flag,avg_first_response_time_minutes_missing_flag,avg_satisfaction_score_missing_flag,is_inactive_user,has_no_ticket_history,usage_per_subscription,ticket_per_subscription,error_per_subscription,error_rate,health_score,industry_Cybersecurity,industry_DevTools,industry_EdTech,industry_FinTech,industry_HealthTech,country_AU,country_CA,country_DE,country_FR,country_IN,country_UK,country_US,referral_source_ads,referral_source_event,referral_source_organic,referral_source_other,referral_source_partner,plan_tier_Basic,plan_tier_Enterprise,plan_tier_Pro,latest_plan_tier_Basic,latest_plan_tier_Enterprise,latest_plan_tier_Pro,latest_billing_frequency_annual,latest_billing_frequency_monthly
A-ac14bb,21,0,0,8,6,292.375,31.25,71,3468.25,14129,41619.0,332952,1,7,2,0,0,0,2,461,0.75,0.875,1,0,181,531,170826,42,31,7,13,2.0,24.5,30.5,4.0,0.0,0.0,480,0,0,0,0,0,66.375,0.25,5.25,0.07909604519774012,10.28439916615267,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False
A-463db0,15,0,0,7,7,10.857142857142858,24.857142857142858,42,1895.142857142857,8358,22741.714285714286,159192,0,5,0,0,0,0,0,22,1.0,0.7142857142857143,1,0,0,367,106259,13,25,3,4,6.0,50.166666666666664,94.83333333333331,4.25,1.0,0.1666666666666666,26,0,0,0,0,0,52.42857142857143,0.8571428571428571,1.8571428571428572,0.035422343324250684,9.753948711950112,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False
A-ce66f8,29,0,0,6,6,242.0,30.333333333333332,37,1976.3333333333333,7363,23716.0,142296,0,6,0,0,0,0,0,495,1.0,1.0,1,0,157,494,133559,19,29,6,0,6.0,41.666666666666664,79.16666666666667,3.5,0.0,0.0,496,0,0,0,0,0,82.33333333333333,1.0,3.1666666666666665,0.038461538461538464,10.038447451923155,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
A-c4ea60,18,0,1,9,9,232.22222222222223,25.77777777777778,58,1627.3333333333333,3582,19528.0,175752,1,7,0,1,0,0,0,630,1.0,0.7777777777777778,1,0,14,427,137244,18,28,9,20,5.0,36.0,59.0,3.6,0.0,0.0,663,0,0,0,0,0,47.44444444444444,0.5555555555555556,2.0,0.04215456674473068,9.976757302955727,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True
A-832ec2,4,1,0,8,8,224.625,16.5,31,1162.375,4378,13948.5,111588,2,3,3,0,1,0,0,364,1.0,0.375,0,0,34,511,157711,25,31,6,8,3.0,26.0,108.66666666666669,4.0,1.0,0.3333333333333333,408,0,0,0,0,0,63.875,0.375,3.125,0.04892367906066536,10.19902546586924,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False
A-684255,9,0,0,14,11,127.07142857142857,14.928571428571429,32,846.0,2786,10152.0,142128,2,9,3,1,0,1,3,261,0.7857142857142857,0.6428571428571429,1,1,5,653,191849,44,34,15,23,4.0,14.25,97.75,4.666666666666667,1.0,0.25,261,0,0,0,0,0,46.642857142857146,0.2857142857142857,3.142857142857143,0.06738131699846861,10.671786923192364,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False
A-c42f1f,8,0,0,8,7,61.375,13.125,28,646.875,2388,7762.5,62100,0,6,1,1,1,1,1,156,0.875,0.75,1,0,2,337,98383,20,24,5,62,9.0,31.333333333333332,81.88888888888889,4.0,1.0,0.1111111111111111,156,0,0,0,0,0,42.125,1.125,2.5,0.05934718100890208,9.408380259751153,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True
A-4e44e8,3,0,1,14,12,75.57142857142857,24.857142857142858,78,2603.214285714286,15522,31238.571428571428,437340,3,11,2,0,0,0,2,130,0.8571428571428571,0.7857142857142857,1,0,12,687,208387,37,32,8,37,3.0,31.333333333333332,76.66666666666667,3.3333333333333335,0.0,0.0,133,0,0,0,0,0,49.07142857142857,0.21428571428571427,2.642857142857143,0.053857350800582245,10.540771550158818,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False
A-30b4ca,86,0,1,8,8,172.625,86.0,86,9492.25,17114,113907.0,911256,1,7,0,0,0,0,0,221,1.0,0.875,1,0,89,402,127433,22,28,10,9,3.0,57.666666666666664,108.33333333333331,4.0,0.0,0.0,225,0,0,0,0,0,50.25,0.375,2.75,0.05472636815920398,9.998850551137137,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False
A-9f2731,1,0,0,7,7,57.42857142857143,24.0,39,516.1428571428571,1617,6193.714285714285,43356,3,7,0,1,0,1,0,80,1.0,1.0,1,1,39,324,98113,20,23,2,12,0.0,36.0,88.29166666666666,4.0,0.0,0.0,88,1,1,1,0,0,46.285714285714285,0.0,2.857142857142857,0.06172839506172839,9.65323703736904,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False
A-32fb14,26,0,1,9,7,256.6666666666667,29.333333333333332,47,1129.111111111111,5174,13549.333333333334,121944,1,7,2,0,0,0,2,532,0.7777777777777778,0.7777777777777778,1,0,52,488,150708,19,27,2,6,5.0,34.0,59.6,4.5,0.0,0.0,665,0,0,0,0,0,54.22222222222222,0.5555555555555556,2.111111111111111,0.0389344262295082,10.316005979613646,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False
A-00cac8,8,1,0,9,9,213.22222222222223,15.333333333333334,39,1569.0,7761,18828.0,169452,1,8,0,1,0,1,0,472,1.0,0.8888888888888888,1,0,29,602,171366,31,30,7,7,2.0,33.0,120.5,4.0,0.0,0.0,473,0,0,1,0,0,66.88888888888889,0.2222222222222222,3.4444444444444446,0.05149501661129568,10.522873762600298,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
A-35083d,19,0,1,16,15,256.875,25.8125,49,2027.0625,9751,24324.75,389196,3,14,3,0,0,0,1,577,0.9375,0.875,1,0,16,791,237055,37,29,7,2,4.0,49.75,119.0,5.0,0.0,0.0,613,0,0,0,0,0,49.4375,0.25,2.3125,0.04677623261694058,11.029377610391878,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True
A-eb7fac,7,0,0,10,9,183.8,32.4,136,4209.6,27064,50515.2,505152,0,9,0,0,0,0,1,371,0.9,0.9,1,0,70,538,185729,44,27,6,12,4.0,34.0,126.5,4.0,0.0,0.0,430,0,0,0,0,0,53.8,0.4,4.4,0.08178438661710037,10.1129981479987,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True
A-b20d99,20,0,0,7,7,203.14285714285714,23.0,34,1581.2857142857142,3980,18975.428571428572,132828,0,6,1,0,1,0,0,340,1.0,0.8571428571428571,1,0,58,329,105214,12,22,5,99,2.0,61.5,27.0,3.5,0.0,0.0,461,0,0,0,0,0,47.0,0.2857142857142857,1.7142857142857142,0.0364741641337386,9.555787478292412,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True
A-396e5f,2,0,0,10,10,61.0,17.6,53,1023.6,2597,12283.2,122832,1,8,2,1,2,1,0,90,1.0,0.8,0,0,12,540,175427,23,29,5,6,5.0,24.8,102.8,4.0,1.0,0.2,90,0,0,0,0,0,54.0,0.5,2.3,0.04259259259259259,10.256653697545673,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True
A-45ce7a,16,0,0,7,6,221.57142857142858,17.142857142857142,22,1173.7142857142858,3184,14084.57142857143,98592,1,5,2,1,0,0,1,315,0.8571428571428571,0.7142857142857143,1,0,48,424,124978,30,21,2,7,5.0,45.4,91.8,3.6666666666666665,0.0,0.0,527,0,0,0,0,0,60.57142857142857,0.7142857142857143,4.285714285714286,0.07075471698113207,9.527453275472311,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True
A-08e34e,14,0,1,11,11,97.9090909090909,31.09090909090909,77,1983.7272727272727,5970,23804.727272727272,261852,2,7,0,0,0,0,0,183,1.0,0.6363636363636364,1,0,0,651,186929,32,34,7,1,3.0,43.0,84.0,3.0,0.0,0.0,187,0,0,0,0,0,59.18181818181818,0.2727272727272727,2.909090909090909,0.04915514592933948,10.471435075587552,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True
A-8145a0,2,1,0,12,11,282.1666666666667,16.416666666666668,44,1438.3333333333333,4975,17260.0,207120,1,11,2,0,0,0,1,512,0.9166666666666666,0.9166666666666666,1,0,14,693,200177,27,32,5,5,6.0,23.666666666666668,90.16666666666669,4.0,0.0,0.0,616,0,0,0,0,0,57.75,0.5,2.25,0.03896103896103896,10.71917432716809,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True
A-bad8c1,7,0,0,7,7,378.0,31.857142857142858,60,1113.857142857143,2646,13366.285714285714,93564,2,7,2,0,0,0,0,568,1.0,1.0,1,0,211,385,125675,11,29,6,7,1.0,27.0,49.0,4.0,0.0,0.0,671,0,0,0,0,0,55.0,0.14285714285714285,1.5714285714285714,0.02857142857142857,10.178463322555558,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True
A-44dc83,5,0,0,4,4,107.0,22.75,37,114.0,456,1368.0,5472,3,4,0,0,0,0,0,197,1.0,1.0,1,1,35,248,81119,13,16,3,83,7.0,40.857142857142854,76.14285714285714,4.6,0.0,0.0,233,0,0,0,0,0,62.0,1.75,3.25,0.05241935483870968,8.801069466327375,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
A-f446b6,5,1,0,9,8,290.3333333333333,16.444444444444443,53,1265.7777777777778,3582,15189.333333333334,136704,0,7,0,0,0,0,1,583,0.8888888888888888,0.7777777777777778,1,0,114,376,127515,31,27,3,17,8.0,30.75,82.5,4.25,1.0,0.125,599,0,0,0,0,0,41.77777777777778,0.8888888888888888,3.4444444444444446,0.08244680851063829,9.629993432847803,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False
A-a45270,3,0,0,12,11,99.66666666666667,23.25,79,1677.5833333333333,4975,20131.0,241572,2,9,2,1,0,1,1,172,0.9166666666666666,0.75,1,1,8,733,222582,53,35,4,6,4.0,64.0,110.0,4.0,0.0,0.0,190,0,0,0,0,0,61.083333333333336,0.3333333333333333,4.416666666666667,0.0723055934515689,10.737166666479446,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False
A-854864,20,0,0,6,5,9.0,31.833333333333332,91,2459.8333333333335,4459,29518.0,177108,0,5,0,0,0,0,1,22,0.8333333333333334,0.8333333333333334,1,0,0,248,73517,10,17,4,16,5.0,44.2,100.8,4.8,0.0,0.0,24,0,0,0,0,0,41.333333333333336,0.8333333333333334,1.6666666666666667,0.04032258064516129,9.197878417801732,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False
A-1b7577,4,0,0,11,9,28.09090909090909,17.545454545454547,81,797.3636363636364,2009,9568.363636363636,105252,1,11,0,1,0,1,2,64,0.8181818181818182,1.0,1,0,1,647,195598,33,33,4,11,5.0,27.2,109.4,4.0,0.0,0.0,65,0,0,0,0,0,58.81818181818182,0.45454545454545453,3.0,0.05100463678516229,10.631591673406263,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True
A-05f0e5,32,0,0,12,12,282.6666666666667,45.083333333333336,92,4259.083333333333,18308,51109.0,613308,0,10,2,0,0,0,0,569,1.0,0.8333333333333334,1,0,38,706,207116,46,32,9,1,4.0,20.0,108.5,4.0,0.0,0.0,607,0,0,0,0,0,58.833333333333336,0.3333333333333333,3.8333333333333335,0.06515580736543909,10.648425857202524,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False
A-9077b0,2,0,0,7,5,37.57142857142857,17.142857142857142,63,509.2857142857143,2786,6111.428571428572,42780,3,7,3,0,3,0,2,127,0.7142857142857143,1.0,1,0,11,493,146301,31,26,5,43,3.0,40.333333333333336,136.33333333333334,4.333333333333333,0.0,0.0,128,0,0,0,0,0,70.42857142857143,0.42857142857142855,4.428571428571429,0.06288032454361055,10.160161236664674,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False
A-7f8241,34,0,1,15,15,386.8666666666667,35.86666666666667,60,2634.4,7164,31612.8,474192,1,10,2,0,0,0,0,645,1.0,0.6666666666666666,0,0,7,734,227186,38,34,5,10,1.0,36.0,135.0,3.0,0.0,0.0,658,0,0,0,0,0,48.93333333333333,0.06666666666666667,2.533333333333333,0.051771117166212535,10.62969630820452,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True
A-2bc93d,14,0,0,13,12,272.53846153846155,29.23076923076923,95,2491.846153846154,7960,29902.153846153848,388728,1,11,4,0,0,0,1,531,0.9230769230769231,0.8461538461538461,1,0,11,666,215735,31,33,5,24,2.0,12.0,78.0,4.5,0.0,0.0,658,0,0,0,0,0,51.23076923076923,0.15384615384615385,2.3846153846153846,0.046546546546546545,10.882956299337513,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True
A-f3ff05,2,0,0,13,12,83.6923076923077,15.923076923076923,48,1497.3076923076924,9552,17967.69230769231,233580,1,12,1,0,0,0,1,152,0.9230769230769231,0.9230769230769231,1,0,29,672,210327,36,28,4,0,3.0,42.666666666666664,111.33333333333331,3.5,0.0,0.0,178,0,0,0,0,0,51.69230769230769,0.23076923076923078,2.769230769230769,0.05357142857142857,10.42849170908175,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
A-2d4502,7,0,0,10,10,108.1,29.6,67,2907.1,8159,34885.2,348852,1,7,2,0,1,0,0,245,1.0,0.7,1,0,19,465,127997,19,29,7,24,3.0,26.333333333333332,82.0,5.0,0.0,0.0,246,0,0,0,0,0,46.5,0.3,1.9,0.04086021505376344,10.516081940518983,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
A-6a4e2d,9,0,0,11,8,345.1818181818182,23.818181818181817,56,944.9090909090909,4378,11338.90909090909,124728,1,9,2,1,2,0,3,541,0.7272727272727273,0.8181818181818182,1,0,54,597,172764,31,27,3,7,2.0,18.5,141.0,4.5,1.0,0.5,634,0,0,0,0,0,54.27272727272727,0.18181818181818182,2.8181818181818183,0.051926298157453935,10.295709227884021,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False
A-eb7c38,5,0,0,15,11,124.33333333333333,28.8,102,2547.3333333333335,17910,30568.0,458520,4,10,3,1,0,0,4,264,0.7333333333333333,0.6666666666666666,1,0,27,693,203946,27,33,6,16,5.0,22.4,67.4,4.333333333333333,0.0,0.0,310,0,0,0,0,0,46.2,0.3333333333333333,1.8,0.03896103896103896,10.874027290317771,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False
A-c37601,6,1,0,12,10,22.5,15.916666666666666,54,1706.25,10746,20475.0,245700,3,10,0,0,0,0,2,60,0.8333333333333334,0.8333333333333334,0,0,1,489,131835,21,28,3,24,4.0,42.25,83.0,3.6666666666666665,0.0,0.0,61,0,0,0,0,0,40.75,0.3333333333333333,1.75,0.04294478527607362,10.180310628044111,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True
A-3b5cd1,13,1,0,13,13,283.0,20.923076923076923,55,1821.2307692307693,6368,21854.76923076923,284112,2,9,2,1,0,0,0,458,1.0,0.6923076923076923,1,0,7,523,177958,24,27,5,10,5.0,27.4,46.6,4.0,0.0,0.0,476,0,0,0,0,0,40.23076923076923,0.38461538461538464,1.8461538461538463,0.045889101338432124,10.26809684165024,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False
A-b2225d,47,0,1,12,12,139.91666666666666,47.25,50,1590.6666666666667,9353,19088.0,229056,5,9,1,1,0,0,0,273,1.0,0.75,1,0,21,696,236693,60,34,5,23,2.0,42.0,38.0,3.0,0.0,0.0,298,0,0,0,0,0,58.0,0.16666666666666666,5.0,0.08620689655172414,10.37943232282465,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False
A-94f8c9,13,0,0,16,15,112.875,19.8125,74,1999.3125,7164,23991.75,383868,3,14,2,1,0,1,1,270,0.9375,0.875,1,0,0,746,204124,63,33,7,28,3.0,47.333333333333336,87.66666666666667,5.0,0.0,0.0,277,0,0,0,0,0,46.625,0.1875,3.9375,0.08445040214477212,10.923298699025118,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True
A-02fac6,22,0,0,11,11,213.1818181818182,25.454545454545453,59,2400.909090909091,4577,28810.909090909092,316920,0,9,1,0,1,0,0,437,1.0,0.8181818181818182,1,0,74,514,169854,34,32,5,4,6.0,23.333333333333332,100.5,4.0,0.0,0.0,635,0,0,0,0,0,46.72727272727273,0.5454545454545454,3.090909090909091,0.06614785992217899,10.273571526155685,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True
A-c1dfe1,26,0,0,8,7,229.375,28.75,41,3223.75,8159,38685.0,309480,0,5,1,2,0,0,1,380,0.875,0.625,0,0,100,375,127687,30,24,4,8,3.0,50.333333333333336,93.66666666666669,4.0,0.0,0.0,512,0,0,0,0,0,46.875,0.375,3.75,0.08,9.654714968258094,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True
A-32728c,20,0,1,8,7,369.125,22.75,42,562.25,980,6747.0,53976,2,8,1,0,0,0,1,637,0.875,1.0,1,0,105,418,115325,22,26,6,17,2.0,34.5,61.5,3.5,0.0,0.0,728,0,0,0,0,0,52.25,0.25,2.75,0.05263157894736842,9.883049891189625,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False
A-4c38bc,36,0,1,16,14,165.1875,36.0,36,3003.75,7164,36045.0,576720,1,14,2,0,1,0,2,289,0.875,0.875,1,0,3,818,271358,27,37,10,2,3.0,48.333333333333336,43.0,3.5,0.0,0.0,297,0,0,0,0,0,51.125,0.1875,1.6875,0.03300733496332518,11.008758568762829,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False
